IDENTIFICADOR_DEL_REGISTRO,INCUMPLIMIENTO,CLASIFICACION_RESULTADO_PRODUCTO
89,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
90,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
91,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
92,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
93,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
94,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
95,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
96,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
97,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
98,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
99,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
100,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
101,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
102,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
103,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
104,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
105,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
106,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
107,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
108,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
109,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
110,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
111,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
112,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
113,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
114,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
115,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
116,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
117,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
118,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
119,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
120,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
121,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
122,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
123,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
124,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
125,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
126,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
127,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
128,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
129,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
130,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
131,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
132,Carece de la informacion comercial obligatoria,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
133,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
134,Producto Caducado,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
135,Carece de fecha de caducidad,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
136,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
137,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
138,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
139,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
140,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
141,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
142,Carece del precio maximo al publico en caracteres legibles e indelebles.,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
143,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
144,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
145,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
146,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
147,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
148,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
149,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
150,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
151,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
152,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
153,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
154,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
155,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
156,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
157,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
158,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
159,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
160,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
161,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
162,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
