IDENTIFICADOR_DEL_REGISTRO,INCUMPLIMIENTO,CLASIFICACION_RESULTADO_PRODUCTO
7859,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7860,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7861,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7862,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7863,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7864,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7865,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7866,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7867,toma de muestras,VISITA CON TOMA DE MUESTRAS
7868,toma de muestras,VISITA CON TOMA DE MUESTRAS
7869,toma de muestras,VISITA CON TOMA DE MUESTRAS
7870,toma de muestras,VISITA CON TOMA DE MUESTRAS
7871,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7872,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7873,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7874,toma de muestras,VISITA CON TOMA DE MUESTRAS
7875,toma de muestras,VISITA CON TOMA DE MUESTRAS
7876,"El producto declara ""Natural"" en la lista de ingredientes incumplimiendo el numeral 9",VISITA CON INFRACCION PRODUCTO INMOVILIZADO
7877,toma de muestras,VISITA CON TOMA DE MUESTRAS
7878,toma de muestras,VISITA CON TOMA DE MUESTRAS
7879,No indica veracidad de la informacion comercial,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
7880,No indica veracidad de la informacion comercial,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
7881,toma de muestras,VISITA CON TOMA DE MUESTRAS
7882,No indica veracidad de la informacion comercial,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
7883,No indica veracidad de la informacion comercial,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
7884,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7885,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7886,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7887,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7888,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7889,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7890,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7891,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7892,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7893,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7894,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7895,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7896,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7897,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7898,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7899,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7900,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7901,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7902,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7903,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7904,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7905,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7906,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7907,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7908,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7909,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7910,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7911,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7912,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7913,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7914,toma de muestras,VISITA CON TOMA DE MUESTRAS
7915,toma de muestras,VISITA CON TOMA DE MUESTRAS
7916,toma de muestras,VISITA CON TOMA DE MUESTRAS
7917,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7918,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7919,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7920,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7921,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7922,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7923,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7924,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7925,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7926,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7927,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7928,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7929,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7930,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7931,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7932,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7933,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7934,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7935,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7936,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7937,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7938,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7939,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7940,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7941,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7942,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7943,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7944,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7945,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7946,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7947,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7948,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7949,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7950,toma de muestras,VISITA CON TOMA DE MUESTRAS
7951,toma de muestras,VISITA CON TOMA DE MUESTRAS
7952,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7953,No ostenta lista de ingredientes  o no lo expresa conforme al numeral 4.2.2  incumplimiendo numeral 9.2,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
7954,Incumple el numeral 9  al no cumplir con las normas a las que hace referencia,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
7955,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7956,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7957,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7958,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7959,"El producto declara ""Natural"" en la lista de ingredientes incumplimiendo el numeral 9",VISITA CON INFRACCION PRODUCTO INMOVILIZADO
7960,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7961,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7962,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7963,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7964,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7965,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7966,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7967,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7968,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7969,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7970,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7971,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7972,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7973,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7974,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7975,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7976,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7977,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7978,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7979,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7980,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7981,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7982,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7983,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7984,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7985,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7986,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7987,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7988,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7989,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7990,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7991,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7992,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7993,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7994,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7995,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7996,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7997,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7998,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
7999,"El producto declara ""Natural"" en la lista de ingredientes incumplimiendo el numeral 9",VISITA CON INFRACCION PRODUCTO INMOVILIZADO
8000,"El producto declara ""Natural"" en la lista de ingredientes incumplimiendo el numeral 9",VISITA CON INFRACCION PRODUCTO INMOVILIZADO
8001,toma de muestras,VISITA CON TOMA DE MUESTRAS
8002,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8003,toma de muestras,VISITA CON TOMA DE MUESTRAS
8004,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8005,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8006,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8007,toma de muestras,VISITA CON TOMA DE MUESTRAS
8008,toma de muestras,VISITA CON TOMA DE MUESTRAS
8009,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8010,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8011,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8012,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8013,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8014,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8015,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8016,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8017,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8018,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8019,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8020,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8021,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8022,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8023,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8024,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8025,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8026,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8027,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8028,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8029,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8030,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8031,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8032,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8033,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8034,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8035,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8036,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8037,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8038,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8039,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8040,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8041,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8042,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8043,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8044,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8045,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8046,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8047,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8048,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8049,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8050,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8051,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8052,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8053,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8054,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8055,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8056,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8057,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8058,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8059,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8060,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8061,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8062,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8063,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8064,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8065,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8066,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8067,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8068,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8069,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8070,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8071,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8072,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8073,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8074,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8075,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8076,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8077,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8078,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8079,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8080,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8081,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8082,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8083,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8084,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8085,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8086,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8087,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8088,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8089,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8090,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8091,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8092,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8093,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8094,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8095,toma de muestras,VISITA CON TOMA DE MUESTRAS
8096,toma de muestras,VISITA CON TOMA DE MUESTRAS
8097,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8098,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8099,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8100,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8101,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8102,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8103,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8104,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8105,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8106,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8107,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8108,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8109,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8110,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8111,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8112,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8113,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8114,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8115,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8116,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8117,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8118,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8119,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8120,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8121,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8122,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8123,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8124,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8125,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8126,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8127,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8128,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8129,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8130,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8131,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8132,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8133,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8134,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8135,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8136,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8137,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8138,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8139,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8140,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8141,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8142,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8143,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8144,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8145,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8146,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8147,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8148,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8149,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8150,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8151,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8152,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8153,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8154,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8155,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8156,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8157,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8158,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8159,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8160,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8161,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8162,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8163,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8164,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8165,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8166,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8167,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8168,Carece de leyenda que identifique el pais de origen del producto,VISITA CON INFRACCION PRODUCTO INMOVILIZADO
8169,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8170,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8171,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8172,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8173,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8174,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8175,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8176,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8177,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8178,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8179,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8180,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8181,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8182,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8183,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8184,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8185,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8186,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8187,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8188,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8189,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8190,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8191,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8192,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8193,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8194,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8195,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8196,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8197,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8198,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8199,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8200,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8201,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8202,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8203,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8204,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8205,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8206,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8207,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8208,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8209,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8210,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8211,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8212,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8213,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8214,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8215,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8216,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8217,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8218,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8219,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8220,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8221,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8222,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8223,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8224,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8225,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8226,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8227,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8228,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8229,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8230,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8231,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8232,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8233,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8234,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8235,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8236,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8237,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8238,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8239,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8240,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
8241,NO SE DETECTO INCUMPLIMIENTO,VISITA CORRECTA
