RAZON_SOCIAL_VISITADA,GIRO_COMERCIAL,MUNICIPIO,ENTIDAD,ID_RAZON_SOCIAL_VISITADA
ABARROTES LA CHIAPANECA  Y/O MARIA GUADALUPE MARQUEZ SANTOS,ABARROTES,MIGUEL HIDALGO,DISTRITO FEDERAL,705
ABARROTES LA CHINA Y/O CONSUELO DE LA CRUZ FLORES,ABARROTES,COACALCO DE BERRIOZABAL,MEXICO,706
ABARROTES LA CHIQUIS,ABARROTES,TLALNEPANTLA DE BAZ,MEXICO,707
ABARROTES LA CHIQUITA,ABARROTES,REYNOSA,TAMAULIPAS,708
ABARROTES LA CHIQUITA Y/O YOLANDA AVILES NAVARRETE,ABARROTES,ECATEPEC DE MORELOS,MEXICO,709
ABARROTES LA CHIQUITINA Y/O MIRIAM ARMENTA GONZALEZ,ABARROTES,ECATEPEC DE MORELOS,MEXICO,710
ABARROTES LA CHIQUITITA Y/O ERIC MUÃOZ ROJAS,ABARROTES VINOS Y LICORES,ALVARO OBREGON,DISTRITO FEDERAL,711
ABARROTES LA CLASICA,ABARROTES,CUAUTITLAN IZCALLI,MEXICO,712
ABARROTES LA COMERCIAL,ABARROTES,SAN LUIS POTOSI,SAN LUIS POTOSI,713
ABARROTES LA COMERCIAL,ABARROTES,ZACATECAS,ZACATECAS,714
ABARROTES LA COMERCIAL,ABARROTES,ZUMPANGO,MEXICO,715
ABARROTES LA COMERCIAL Y/O JOSELIN ALVAREZ ISLAS,ABARROTES,MIGUEL HIDALGO,DISTRITO FEDERAL,716
ABARROTES LA CONCHITA  Y/O MARIA DE LOS ANGELES MALDONADO RODRIGUEZ,ABARROTES,ALVARO OBREGON,DISTRITO FEDERAL,717
ABARROTES LA CONCORDIA Y/O ALBERTO ARANDA PACHECO,ABARROTES,COACALCO DE BERRIOZABAL,MEXICO,718
ABARROTES LA CORONA,ABARROTES,TLALNEPANTLA DE BAZ,MEXICO,719
ABARROTES LA CRUZ Y/O NAVA PANTALEON MARIA DE JESUS,ABARROTES VINOS Y LICORES,IZTACALCO,DISTRITO FEDERAL,720
ABARROTES LA DEPORTIVA,ABARROTES,MINERAL DEL MONTE,HIDALGO,721
ABARROTES LA DOMINGUEZ Y/O SABAS DURAN DOMINGUEZ,ABARROTES VINOS Y LICORES,IZTACALCO,DISTRITO FEDERAL,722
ABARROTES LA ESPERANZA Y/O AGUSTINA TOVAR,ABARROTES,NICOLAS ROMERO,MEXICO,723
ABARROTES LA ESPERANZA Y/O ELIZABETH OROZCO  GONZALEZ,ABARROTES,ECATEPEC DE MORELOS,MEXICO,724
ABARROTES LA ESPERANZA Y/O MARIA DEL CARMEN TRUEBA CRESPO,ABARROTES,MIGUEL HIDALGO,DISTRITO FEDERAL,725
ABARROTES LA ESPERANZA Y/O MARIO FELIPE ACUÃA MARTINEZ,ABARROTES,MIGUEL HIDALGO,DISTRITO FEDERAL,726
ABARROTES LA ESQUINA,ABARROTES,TLALNEPANTLA DE BAZ,MEXICO,727
ABARROTES LA ESQUINITA,ABARROTES,ACTOPAN,HIDALGO,728
ABARROTES LA ESTACION Y/O ESTHER MARTINEZ ZEPEDA,ABARROTES,CUAJIMALPA DE MORELOS,DISTRITO FEDERAL,729
ABARROTES LA ESTRELLA,ABARROTES,PUEBLA,PUEBLA,730
ABARROTES LA ESTRELLA Y/O NIDIA Y.VICAB S.,ABARROTES,MIGUEL HIDALGO,DISTRITO FEDERAL,731
ABARROTES LA ESTRELLA Y/O REYNALDO PEREZ GONZALEZ,ABARROTES,COACALCO DE BERRIOZABAL,MEXICO,732
ABARROTES LA FAMOSA Y/O ALEJANDRO GONZALEZ SANCHEZ,ABARROTES,COACALCO DE BERRIOZABAL,MEXICO,733
ABARROTES LA FE,ABARROTES,MINERAL DE LA REFORMA,HIDALGO,734
ABARROTES LA FLOR DE MICHOACAN,ABARROTES,TLALNEPANTLA DE BAZ,MEXICO,735
ABARROTES LA FLOR DE PANTITLAN Y/O MARIA DOLORES AGUILAR,BEBIDAS ALCOHOLICAS,IZTACALCO,DISTRITO FEDERAL,736
ABARROTES LA FORTALEZA,ABARROTES,PACHUCA DE SOTO,HIDALGO,737
ABARROTES LA FORTUNA,ABARROTES,NEZAHUALCOYOTL,MEXICO,738
ABARROTES LA GABACHITA,ABARROTES,ATIZAPAN DE ZARAGOZA,MEXICO,739
ABARROTES LA GAVIA Y/O HERNANDEZ RAMIREZ FRANCISCA,ABARROTES VINOS Y LICORES,ALVARO OBREGON,DISTRITO FEDERAL,740
ABARROTES LA GLORIETA,ABARROTES,ATIZAPAN DE ZARAGOZA,MEXICO,741
ABARROTES LA GUADALUPANA Y/O LIDIA RAMIREZ MIRANDA,ABARROTES,TLALPAN,DISTRITO FEDERAL,742
ABARROTES LA GUADALUPANA Y/O R. SALVADOR GARCIA GUERRERO,ABARROTES,LA MAGDALENA CONTRERAS,DISTRITO FEDERAL,743
ABARROTES LA HACIENDA Y/O LUZ MARIA ALEJANDRA VAZQUEZ GARCIA,ABARROTES,ECATEPEC DE MORELOS,MEXICO,744
ABARROTES LA HERENCIA,ABARROTES,CUAUTITLAN IZCALLI,MEXICO,745
ABARROTES LA HIDALGUENSE,ABARROTES,MELCHOR OCAMPO,MEXICO,746
ABARROTES LA HIGIENICA,ABARROTES,ALVARO OBREGON,DISTRITO FEDERAL,747
ABARROTES LA HIGIENICA  Y/O LETICIA CABALLERO VELAZQUEZ,ABARROTES,IZTAPALAPA,DISTRITO FEDERAL,748
ABARROTES LA HORMIGA Y/O JUAN GONZALEZ RIVERO,ABARROTES VINOS Y LICORES,IZTACALCO,DISTRITO FEDERAL,749
ABARROTES LA JAROCHA NÃ1,ABARROTES,REYNOSA,TAMAULIPAS,750
ABARROTES LA LUCHA Y/O MARINA ENRIQUEZ HERNANDEZ,ABARROTES,ALVARO OBREGON,DISTRITO FEDERAL,751
ABARROTES LA LUNA,ABARROTES,TLALNEPANTLA DE BAZ,MEXICO,752
ABARROTES LA MICHOACANA  Y/O  AURELIA FUENTES GONZALEZ,ABARROTES VINOS Y LICORES,IZTAPALAPA,DISTRITO FEDERAL,753
ABARROTES LA MORENITA Y/GUILLERMO ALFREDO ESPINOSA DE LOS MONTEROS SANCHEZ,ABARROTES,CUAUTITLAN IZCALLI,MEXICO,754
ABARROTES LA NEGRITA,ABARROTES,PACHUCA DE SOTO,HIDALGO,755
ABARROTES LA NORTEÃA,ABARROTES,JUAREZ,CHIHUAHUA,756
ABARROTES LA NUEVA COMERCIAL Y/O GABRIELA PEÃA MARTINEZ,ABARROTES VINOS Y LICORES,TLALNEPANTLA DE BAZ,MEXICO,757
ABARROTES LA NUEVA ECONOMICA,ABARROTES,TLALPAN,DISTRITO FEDERAL,758
ABARROTES LA NUEVA MICHOACANA Y/O FILEMON MARCELINO ORTEGA BAYLON,ABARROTES,CUAJIMALPA DE MORELOS,DISTRITO FEDERAL,759
ABARROTES LA NUEVA VALENTINA,ABARROTES,MEXICALI,BAJA CALIFORNIA,760
ABARROTES LA NUEVA Y/O  SAMUEL SANCHEZ CORRE,ABARROTES,NAUCALPAN DE JUAREZ,MEXICO,761
ABARROTES LA NUEVA Y/O FERNANDO GARDUÃO SANCHEZ,ABARROTES,CUAJIMALPA DE MORELOS,DISTRITO FEDERAL,762
ABARROTES LA NUEVA Y/O PORFIRIO NAVA MORALES,ABARROTES,IZTACALCO,DISTRITO FEDERAL,763
ABARROTES LA OCCIDENTAL,ABARROTES,CUAUTITLAN IZCALLI,MEXICO,764
ABARROTES LA OFICINA Y/O JANNET BERENICE COELLO GUARNEROS,ABARROTES,COACALCO DE BERRIOZABAL,MEXICO,765
ABARROTES LA PALMA Y/O FRANCO VAZQUEZ GUADALUPE JESSICA,ABARROTES VINOS Y LICORES,CUAUHTEMOC,DISTRITO FEDERAL,766
ABARROTES LA PAMPA,ABARROTES,SAN LUIS POTOSI,SAN LUIS POTOSI,767
ABARROTES LA PARRANDA Y/O MARIA BEATRIZ MARROQUIN CONTRERAS,ABARROTES,ECATEPEC DE MORELOS,MEXICO,768
ABARROTES LA PASADITA,ABARROTES,ATIZAPAN DE ZARAGOZA,MEXICO,769
ABARROTES LA PASADITA,ABARROTES,MINERAL DE LA REFORMA,HIDALGO,770
ABARROTES LA PASADITA,ABARROTES,PACHUCA DE SOTO,HIDALGO,771
ABARROTES LA PASADITA  Y/O  HILDA MARQUEZ VELASCO,ABARROTES,NAUCALPAN DE JUAREZ,MEXICO,772
ABARROTES LA PERLITA PROPIEDAD DE HILDA ALARCON COBOS,ABARROTES,VERACRUZ,VERACRUZ,773
ABARROTES LA PILARICA Y/O LINO GALLARDO JUAREZ,ABARROTES,MIGUEL HIDALGO,DISTRITO FEDERAL,774
ABARROTES LA POBLANA Y/O MARIA ELISA SUAREZ GARCIA,ABARROTES,ECATEPEC DE MORELOS,MEXICO,775
ABARROTES LA POBLANA Y/O SANDRA GUADALUPE VEGA LEYVA,ABARROTES,NICOLAS ROMERO,MEXICO,776
ABARROTES LA POBLANITA Y/O MIREYA NANCY SANCHEZ HERNANDEZ,ABARROTES,COACALCO DE BERRIOZABAL,MEXICO,777
ABARROTES LA PRINCIPAL,ABARROTES,VICTORIA,TAMAULIPAS,778
ABARROTES LA PROVIDENCIA,ABARROTES,PACHUCA DE SOTO,HIDALGO,779
ABARROTES LA PROVIDENCIA,ABARROTES,TLALNEPANTLA DE BAZ,MEXICO,780
ABARROTES LA PROVIDENCIA,ABARROTES,ZACATECAS,ZACATECAS,781
ABARROTES LA ROSA DE ORO,ABARROTES,ATIZAPAN DE ZARAGOZA,MEXICO,782
ABARROTES LA ROSITA,ABARROTES,CUAUTITLAN IZCALLI,MEXICO,783
ABARROTES LA SALESIANA S.A. DE C.V.,ABARROTES VINOS Y LICORES,MIGUEL HIDALGO,DISTRITO FEDERAL,784
ABARROTES LA SARDINERA  S.A. Y/O BODEGAS ALIANZA  SUC. XOTEPINGO,VINOS Y LICORES,COYOACAN,DISTRITO FEDERAL,785
ABARROTES LA SEVILLANA,ABARROTES,TLALNEPANTLA DE BAZ,MEXICO,786
ABARROTES LA SIERRA,ABARROTES,ATIZAPAN DE ZARAGOZA,MEXICO,787
ABARROTES LA SIRENA,ABARROTES,VERACRUZ,VERACRUZ,788
ABARROTES LA SOLEDAD  S.A. DE C.V.,ABARROTES,OAXACA DE JUAREZ,OAXACA,789
ABARROTES LA SOLEDAD S.A. DE C.V.,ABARROTES,SANTA LUCIA DEL CAMINO,OAXACA,790
ABARROTES LA SURTIDORA,ABARROTES,ATIZAPAN DE ZARAGOZA,MEXICO,791
ABARROTES LA TAPATIA Y/O FRANCISCO LEZAMA ALCANTARA,ABARROTES,IZTAPALAPA,DISTRITO FEDERAL,792
ABARROTES LA TIENDA DE DON ECO,ABARROTES,TULTEPEC,MEXICO,793
ABARROTES LA TIENDA Y/O ALEJANDRA GOMEZ HERRERA,ABARROTES,COACALCO DE BERRIOZABAL,MEXICO,794
ABARROTES LA TIENDITA,ABARROTES,TLALNEPANTLA DE BAZ,MEXICO,795
ABARROTES LA TIENDITA DE LA ESQUINA Y/O JOSE JUAN GUTIERREZ GRANADOS,ABARROTES,ECATEPEC DE MORELOS,MEXICO,796
ABARROTES LA TIENDITA Y/O ALTAGRACIA BERTHA MUÃOZ LOZANO,ABARROTES,IZTACALCO,DISTRITO FEDERAL,797
ABARROTES LA UNION NACIONAL S.A.,BEBIDAS ALCOHOLICAS,TULTITLAN,MEXICO,798
ABARROTES LA UNION Y/O JUAN MANUEL PEREZ SANCHEZ,ABARROTES VINOS Y LICORES,ATIZAPAN DE ZARAGOZA,MEXICO,799
ABARROTES LA UNION Y/O RUTILIO BAUTISTA BAUTISTA,ABARROTES,VENUSTIANO CARRANZA,DISTRITO FEDERAL,800
ABARROTES LA VENTANITA Y/O GREGORIO TOVAR SILVESTRE,ABARROTES,IZTAPALAPA,DISTRITO FEDERAL,801
ABARROTES LA VICTORIA Y/O BEJAMIN MENDEZ ZAMORANO,ABARROTES VINOS Y LICORES,AZCAPOTZALCO,DISTRITO FEDERAL,802
ABARROTES LA VILLA Y/O ROSA MARIA MOLANO ESPINOSA,ABARROTES,VICTORIA,TAMAULIPAS,803
ABARROTES LA VITAMINA,ABARROTES VINOS Y LICORES,TLALNEPANTLA DE BAZ,MEXICO,804
ABARROTES LA ZACATECANA Y/O MARIA GUADALUPE MEZA MARTINEZ,ABARROTES,NAUCALPAN DE JUAREZ,MEXICO,805
ABARROTES LALO,ABARROTES,REYNOSA,TAMAULIPAS,806
ABARROTES LALOS  Y/O IRMA CABAÃAS MOTA,ABARROTES,AZCAPOTZALCO,DISTRITO FEDERAL,807
ABARROTES LAS BRISAS,ABARROTES,CUAUTLA,MORELOS,808
ABARROTES LAS MARGARITAS Y/O JOSE ROBERTO SERVIN VALENTINO,ABARROTES,MIGUEL HIDALGO,DISTRITO FEDERAL,809
ABARROTES LAS PALMAS Y/O BLANCA ESTELA VALLE JARDINES,MISCELANEA,NAUCALPAN DE JUAREZ,MEXICO,810
ABARROTES LAS QUINCE LETRAS,ABARROTES,TLALNEPANTLA DE BAZ,MEXICO,811
ABARROTES LAS TRES HERMANAS,ABARROTES,PACHUCA DE SOTO,HIDALGO,812
ABARROTES LAURITA Y/O LINA DOMINGUEZ ESCOBAR,ABARROTES,NICOLAS ROMERO,MEXICO,813
ABARROTES LEIDY,ABARROTES,VICTORIA,TAMAULIPAS,814
ABARROTES LEO Y/O ROMAN JUAREZ PINEDA,ABARROTES,COACALCO DE BERRIOZABAL,MEXICO,815
ABARROTES LEON,ABARROTES,ZACATECAS,ZACATECAS,816
ABARROTES LESLY,ABARROTES,TIJUANA,BAJA CALIFORNIA,817
ABARROTES LIZBET,ABARROTES,ZACATECAS,ZACATECAS,818
ABARROTES LIZET,ABARROTES,CUAUTITLAN IZCALLI,MEXICO,819
ABARROTES LOLITA,ABARROTES,VERACRUZ,VERACRUZ,820
ABARROTES LOLITA  Y/O GUSTAVO RODRIGUEZ VALDEZ,ABARROTES,CUAJIMALPA DE MORELOS,DISTRITO FEDERAL,821
ABARROTES LOMA II Y/O ROSA ISELA RODRIGUEZ ORTEGA,ABARROTES,COYOACAN,DISTRITO FEDERAL,822
ABARROTES LOPEZ,ABARROTES,ZACATECAS,ZACATECAS,823
ABARROTES LORENA Y/ O ZEFERINO NAJERA ESPINOZA,ABARROTES,LA MAGDALENA CONTRERAS,DISTRITO FEDERAL,824
ABARROTES LOS 3 MIXTECOS,ABARROTES,CUAUTITLAN IZCALLI,MEXICO,825
ABARROTES LOS AJUAS,ABARROTES,CUAUTITLAN IZCALLI,MEXICO,826
ABARROTES LOS CHAPULINES,ABARROTES,CUAUTITLAN,MEXICO,827
ABARROTES LOS CHOCHOS PROPIEDAD DE MARIA DE JESUS RODRIGUEZ BARRIENTOS,ABARROTES,VERACRUZ,VERACRUZ,828
ABARROTES LOS CUATES,ABARROTES,VICTORIA,TAMAULIPAS,829
ABARROTES LOS CUATES DE TUCSON Y/O CLAUDIA TADEO FLORES,ABARROTES,NAUCALPAN DE JUAREZ,MEXICO,830
ABARROTES LOS GEMELOS    Y/O MANUEL RAFAEL ACOSTA VARGAS,ABARROTES,CUAJIMALPA DE MORELOS,DISTRITO FEDERAL,831
ABARROTES LOS GIRASOLES,ABARROTES VINOS Y LICORES,MINERAL DE LA REFORMA,HIDALGO,832
ABARROTES LOS GORDOS,ABARROTES,ATIZAPAN DE ZARAGOZA,MEXICO,833
ABARROTES LOS GUEROS Y/O ALBERTO PINEDA AGUILAR,ABARROTES,LA MAGDALENA CONTRERAS,DISTRITO FEDERAL,834
ABARROTES LOS GUEROS Y/O JESUS CONTRERAS PLATA,ABARROTES,MIGUEL HIDALGO,DISTRITO FEDERAL,835
ABARROTES LOS HIJOS DE LA CHELA MADRES,ABARROTES,ZUMPANGO,MEXICO,836
ABARROTES LOS JERQUIS Y/O MARIA DEL CARMEN CRUZ GUZMAN,ABARROTES,COACALCO DE BERRIOZABAL,MEXICO,837
ABARROTES LOS JORGES,ABARROTES,ATIZAPAN DE ZARAGOZA,MEXICO,838
ABARROTES LOS MEMOS Y/O GUILLERMO BECERRIL ANGELES,ABARROTES,CUAJIMALPA DE MORELOS,DISTRITO FEDERAL,839
ABARROTES LOS MICHOACANOS Y/O MARIA GARCIA PEÃALOZA,ABARROTES,ECATEPEC DE MORELOS,MEXICO,840
ABARROTES LOS PEQUEÃOS MINIONS  PROPIEDAD DE EMMANUEL FLORES MOLINA,ABARROTES,VERACRUZ,VERACRUZ,841
ABARROTES LOS PERICOS,ABARROTES,TLALNEPANTLA DE BAZ,MEXICO,842
ABARROTES LOS PINOS,ABARROTES,ATIZAPAN DE ZARAGOZA,MEXICO,843
ABARROTES LUCERO Y/O ANGELICA CARRANZA ARIAS,ABARROTES,NICOLAS ROMERO,MEXICO,844
ABARROTES LUCY,ABARROTES,ATIZAPAN DE ZARAGOZA,MEXICO,845
ABARROTES LUCY,ABARROTES,PACHUCA DE SOTO,HIDALGO,846
ABARROTES LUCY,ABARROTES,VERACRUZ,VERACRUZ,847
ABARROTES LUCY Y/O SANTIAGO GONZALEZ PESINA,ABARROTES,VICTORIA,TAMAULIPAS,848
ABARROTES LUNA,ABARROTES,TLALNEPANTLA DE BAZ,MEXICO,849
ABARROTES LUNA,ABARROTES,ZACATECAS,ZACATECAS,850
ABARROTES LUPITA,ABARROTES,ATIZAPAN DE ZARAGOZA,MEXICO,851
ABARROTES LUPITA  S.A. Y/O BODEGAS ALIANZA CAFETALES,VINOS Y LICORES,COYOACAN,DISTRITO FEDERAL,852
ABARROTES LUPITA PROPIEDAD DE ALTAGRACIA VERONICA GUZMAN MARTINEZ,ABARROTES,BOCA DEL RIO,VERACRUZ,853
ABARROTES LUPITA S.A.,BEBIDAS ALCOHOLICAS,COACALCO DE BERRIOZABAL,MEXICO,854
ABARROTES LUPITA Y/O GUADALUPE VIDAL MONTES DE OCA,ABARROTES,LA MAGDALENA CONTRERAS,DISTRITO FEDERAL,855
ABARROTES LUPITA Y/O VICTOR MENDIETA IBARRA,ABARROTES,LA MAGDALENA CONTRERAS,DISTRITO FEDERAL,856
ABARROTES M.T.T.  Y/O YAZMIN OLVERA NAJERA,ABARROTES,COACALCO DE BERRIOZABAL,MEXICO,857
ABARROTES MA-FER Y/O CESAR ALEJANDRO PEREZ LARIOS,ABARROTES,COACALCO DE BERRIOZABAL,MEXICO,858
ABARROTES MACIP Y/O AURELIO MACIP BRAVO,ABARROTES,NAUCALPAN DE JUAREZ,MEXICO,859
ABARROTES MAGDA,ABARROTES,CHIHUAHUA,CHIHUAHUA,860
ABARROTES MAGDA Y/O CATALINA REYMUNDO CASTRO,ABARROTES VINOS Y LICORES,GUSTAVO A. MADERO,DISTRITO FEDERAL,861
ABARROTES MAGOS,ABARROTES,CUAUTITLAN IZCALLI,MEXICO,862
ABARROTES MALDONADO ROSARIO CRUZ MALDONADO,ABARROTES,COACALCO DE BERRIOZABAL,MEXICO,863
ABARROTES MALU,ABARROTES,IZTAPALAPA,DISTRITO FEDERAL,864
ABARROTES MALU Y/O FRANCISCO ESCALANTE VILLARRUEL,ABARROTES,IZTAPALAPA,DISTRITO FEDERAL,865
ABARROTES MANDUJANO JR Y/O RAUL ARTURO OJEDA GONZALEZ,ABARROTES,ECATEPEC DE MORELOS,MEXICO,866
ABARROTES MANOLOS,ABARROTES,TLALNEPANTLA DE BAZ,MEXICO,867
ABARROTES MANUEL,ABARROTES,PACHUCA DE SOTO,HIDALGO,868
ABARROTES MARES Y/OP ELOY MARICINO DOMINGUEZ,ABARROTES,ALVARO OBREGON,DISTRITO FEDERAL,869
ABARROTES MARI Y/O MA. ELENA HEREDIA ZAPATA,ABARROTES,VICTORIA,TAMAULIPAS,870
ABARROTES MARIA BARBARA,ABARROTES,ATIZAPAN DE ZARAGOZA,MEXICO,871
ABARROTES MARIA ISABEL Y/O MARIA  DE JESUS CANO RODRIGUEZ,ABARROTES,IZTAPALAPA,DISTRITO FEDERAL,872
ABARROTES MARIANITA,ABARROTES,AZCAPOTZALCO,DISTRITO FEDERAL,873
ABARROTES MARINA Y/O VERONICA CEBALLOS TORRES,ABARROTES,IZTACALCO,DISTRITO FEDERAL,874
ABARROTES MARMOTA Y/O MONICA FLORES OCEGERA,ABARROTES,ECATEPEC DE MORELOS,MEXICO,875
ABARROTES MARTINEZ,ABARROTES,REYNOSA,TAMAULIPAS,876
ABARROTES MARY,ABARROTES,REYNOSA,TAMAULIPAS,877
ABARROTES MARY,ABARROTES,VICTORIA,TAMAULIPAS,878
ABARROTES MARY Y/O MARIA DE LA LUZ GONZALEZ SANCHEZ,ABARROTES,ECATEPEC DE MORELOS,MEXICO,879
ABARROTES MARY Y/O MARY CRUZ BASURTO RIVERA,ABARROTES,CUAJIMALPA DE MORELOS,DISTRITO FEDERAL,880
ABARROTES MARYCHUY  Y/O SORAYA SANCHEZ MARTINEZ,ABARROTES,ECATEPEC DE MORELOS,MEXICO,881
ABARROTES MAUI,ABARROTES,CUAUTITLAN IZCALLI,MEXICO,882
ABARROTES MAX,ABARROTES,REYNOSA,TAMAULIPAS,883
ABARROTES MAY,ABARROTES,NEXTLALPAN,MEXICO,884
ABARROTES MAYASA,ABARROTES,REYNOSA,TAMAULIPAS,885
ABARROTES MAYLIN,ABARROTES,PACHUCA DE SOTO,HIDALGO,886
ABARROTES MAYRA,ABARROTES,ATIZAPAN DE ZARAGOZA,MEXICO,887
ABARROTES MAYRA,ABARROTES,ZACATECAS,ZACATECAS,888
ABARROTES MAYRA III,ABARROTES,VICTORIA,TAMAULIPAS,889
ABARROTES MELANIE Y/O LINDA CHRISTIAN MOLINA BRUNT,ABARROTES,COACALCO DE BERRIOZABAL,MEXICO,890
ABARROTES MEXICO Y/O LAURO SANCHEZ MONTESINOS,ABARROTES,CUAJIMALPA DE MORELOS,DISTRITO FEDERAL,891
ABARROTES MI ANGEL,ABARROTES,PACHUCA DE SOTO,HIDALGO,892
ABARROTES MI ANGELITO Y/O CLARA ELOINA SARABIO QUIROZ,ABARROTES,CUAJIMALPA DE MORELOS,DISTRITO FEDERAL,893
ABARROTES MI MERCADITO,ABARROTES,CUAUHTEMOC,DISTRITO FEDERAL,894
ABARROTES MI PUEBLITO,MISCELANEA,TLALNEPANTLA DE BAZ,MEXICO,895
ABARROTES MI TIENDA Y/O SILVIA PEREZ PANTALION,ABARROTES,NAUCALPAN DE JUAREZ,MEXICO,896
ABARROTES MICHEL   Y/O  ALICIA FRIAS CASTRO,ABARROTES VINOS Y LICORES,IZTAPALAPA,DISTRITO FEDERAL,897
ABARROTES MICHELLE,ABARROTES,CUERNAVACA,MORELOS,898
ABARROTES MIMI,ABARROTES,ATIZAPAN DE ZARAGOZA,MEXICO,899
ABARROTES MIMOSAS  Y/O MARCO ANTONIO APARICIO CERON,ABARROTES,COACALCO DE BERRIOZABAL,MEXICO,900
ABARROTES MONARCA  S.A. DE C.V.  YO DISTRIBUIDORA MONARCA,ABARROTES,IZTAPALAPA,DISTRITO FEDERAL,901
ABARROTES MONICA,ABARROTES,CUAUTITLAN IZCALLI,MEXICO,902
ABARROTES MONTERREY SA DE CV,ABARROTERA,VILLAHERMOSA,TABASCO,903
ABARROTES MORALES Y/O JUAN CARLOS MORALES ORTEGA,ABARROTES,CUAJIMALPA DE MORELOS,DISTRITO FEDERAL,904
ABARROTES MORELOS Y/O RAMIRO MORELOS ACOSTA,ABARROTES,ECATEPEC DE MORELOS,MEXICO,905
ABARROTES MORENA,ABARROTES,REYNOSA,TAMAULIPAS,906
ABARROTES MORENO,ABARROTES,ZACATECAS,ZACATECAS,907
ABARROTES MR. CHOCO Y/O MARCELINA SANCHEZ DE LOS SANTOS,ABARROTES,VICTORIA,TAMAULIPAS,908
ABARROTES MR. MARTINEZ,ABARROTES,HUEHUETOCA,MEXICO,909
ABARROTES MULTICOSAS ENSUEÃO,ABARROTES,CALERA,ZACATECAS,910
ABARROTES MY PRINCESS Y/O ROGELIO RUIZ ALONSO,ABARROTES,CUAJIMALPA DE MORELOS,DISTRITO FEDERAL,911
ABARROTES NADIA Y/O NADIA CARMINA RODRIGUEZ LOMELI,ABARROTES,TECOMAN,COLIMA,912
ABARROTES NANCY,ABARROTES,TIJUANA,BAJA CALIFORNIA,913
ABARROTES NANCY Y/O JOSUE GOMEZ ALBA,ABARROTES,NAUCALPAN DE JUAREZ,MEXICO,914
ABARROTES NAPE Y/O EFRAIN NAPE BAXIN,ABARROTES,COACALCO DE BERRIOZABAL,MEXICO,915
ABARROTES NAR,ABARROTES,CUAUHTEMOC,DISTRITO FEDERAL,916
ABARROTES NAZARETH Y/O JULIO CESAR SUAREZ HERNANDEZ,ABARROTES,ALVARO OBREGON,DISTRITO FEDERAL,917
ABARROTES NENA,ABARROTES,REYNOSA,TAMAULIPAS,918
ABARROTES NENE,ABARROTES,REYNOSA,TAMAULIPAS,919
ABARROTES NETO Y/O TIENDAS SUPER PRECIO S.A DE C.V.,SIN GIRO ESPECIFICO,NAUCALPAN DE JUAREZ,MEXICO,920
ABARROTES NOE Y/O LUCIA MENDOZA BERNARDINO,ABARROTES,ATIZAPAN DE ZARAGOZA,MEXICO,921
ABARROTES NUEVA GENERACION Y/O FERNANDO VIDAL SEGURA,ABARROTES,MIGUEL HIDALGO,DISTRITO FEDERAL,922
ABARROTES OBRERA,BEBIDAS ALCOHOLICAS,CUAUHTEMOC,DISTRITO FEDERAL,923
ABARROTES OFE,ABARROTES,VERACRUZ,VERACRUZ,924
ABARROTES OKA Y/O GUADALUPE ELOISA ARREOLA DE LA CRUZ,ABARROTES,MIGUEL HIDALGO,DISTRITO FEDERAL,925
ABARROTES OLIVIA Y/O ANDREA EMIGDIA CAMPOS MONTOYA,ABARROTES,LA MAGDALENA CONTRERAS,DISTRITO FEDERAL,926
ABARROTES OSCARIN Y/O LUCIA REYES PEREZ,ABARROTES,CUAJIMALPA DE MORELOS,DISTRITO FEDERAL,927
ABARROTES OXXY Y/O SILVIA MENDOZA MERCADO,ABARROTES,BENITO JUAREZ,DISTRITO FEDERAL,928
ABARROTES PACHITA Y/O VELAZQUEZ SANCHEZ LAURA,ABARROTES,ALVARO OBREGON,DISTRITO FEDERAL,929
ABARROTES PADILLA,ABARROTES,COLIMA,COLIMA,930
ABARROTES PAMELA,ABARROTES,ZACATECAS,ZACATECAS,931
ABARROTES PAO Y/O GUADALUPE AGUILAR HERNANDEZ,ABARROTES,COACALCO DE BERRIOZABAL,MEXICO,932
ABARROTES PAOLA,ABARROTES,TIJUANA,BAJA CALIFORNIA,933
ABARROTES PARLEY,ABARROTES,TLALNEPANTLA DE BAZ,MEXICO,934
ABARROTES PATY Y/O DIEGO ROMERO RODRIGUEZ,ABARROTES,ECATEPEC DE MORELOS,MEXICO,935
ABARROTES PELAYO,ABARROTES,COLIMA,COLIMA,936
ABARROTES PEPE,ABARROTES,TULTEPEC,MEXICO,937
ABARROTES PEPE Y/O LYDIA PEREZ INOSTROSA,ABARROTES,NAUCALPAN DE JUAREZ,MEXICO,938
ABARROTES PEPE Y/O TERESA MORA JIMENEZ,ABARROTES,ECATEPEC DE MORELOS,MEXICO,939
ABARROTES PEREZ Y/O GABRIELA GUTIERREZ VAZQUEZ,ABARROTES,ECATEPEC DE MORELOS,MEXICO,940
ABARROTES PEÃA,ABARROTES,REYNOSA,TAMAULIPAS,941
ABARROTES PRIM II Y/O SANCIT S.A. DE C.V.,ABARROTES,ALVARO OBREGON,DISTRITO FEDERAL,942
ABARROTES PROGRESO Y/O JAIME AGUILAR GAMBOA,ABARROTES,ALVARO OBREGON,DISTRITO FEDERAL,943
ABARROTES PUNTO DE VENTA  S.A. DE C.V.,ABARROTES,IZTAPALAPA,DISTRITO FEDERAL,944
