ID_DETALLE,ID_ORDEN,ID_PRODUCTO,ID_RAZON_SOCIAL_VISITADA
1,1,577,2626
2,2,915,11106
3,3,1014,11106
4,4,1013,11106
5,5,1193,11106
6,6,13645,3563
7,7,8150,1281
8,8,16414,3960
9,9,29293,4010
10,10,29293,4012
