IDENTIFICADOR_DEL_REGISTRO,MUNICIPIO,ENTIDAD
2700,GUSTAVO A. MADERO,DISTRITO FEDERAL
2701,GUSTAVO A. MADERO,DISTRITO FEDERAL
2702,GUSTAVO A. MADERO,DISTRITO FEDERAL
2703,GUSTAVO A. MADERO,DISTRITO FEDERAL
2704,GUSTAVO A. MADERO,DISTRITO FEDERAL
2705,GUSTAVO A. MADERO,DISTRITO FEDERAL
2706,GUSTAVO A. MADERO,DISTRITO FEDERAL
2707,IZTACALCO,DISTRITO FEDERAL
2708,IZTACALCO,DISTRITO FEDERAL
2709,IZTACALCO,DISTRITO FEDERAL
2710,IZTACALCO,DISTRITO FEDERAL
2711,IZTACALCO,DISTRITO FEDERAL
2712,IZTACALCO,DISTRITO FEDERAL
2713,BENITO JUAREZ,DISTRITO FEDERAL
2714,BENITO JUAREZ,DISTRITO FEDERAL
2715,ATIZAPAN DE ZARAGOZA,MEXICO
2716,ATIZAPAN DE ZARAGOZA,MEXICO
2717,ATIZAPAN DE ZARAGOZA,MEXICO
2718,ATIZAPAN DE ZARAGOZA,MEXICO
2719,ATIZAPAN DE ZARAGOZA,MEXICO
2720,ATIZAPAN DE ZARAGOZA,MEXICO
2721,ATIZAPAN DE ZARAGOZA,MEXICO
2722,ATIZAPAN DE ZARAGOZA,MEXICO
2723,ATIZAPAN DE ZARAGOZA,MEXICO
2724,ATIZAPAN DE ZARAGOZA,MEXICO
2725,ATIZAPAN DE ZARAGOZA,MEXICO
2726,ATIZAPAN DE ZARAGOZA,MEXICO
2727,ATIZAPAN DE ZARAGOZA,MEXICO
2728,ATIZAPAN DE ZARAGOZA,MEXICO
2729,COACALCO DE BERRIOZABAL,MEXICO
2730,COACALCO DE BERRIOZABAL,MEXICO
2731,COACALCO DE BERRIOZABAL,MEXICO
2732,COACALCO DE BERRIOZABAL,MEXICO
2733,COACALCO DE BERRIOZABAL,MEXICO
2734,COACALCO DE BERRIOZABAL,MEXICO
2735,COACALCO DE BERRIOZABAL,MEXICO
2736,COACALCO DE BERRIOZABAL,MEXICO
2737,COACALCO DE BERRIOZABAL,MEXICO
2738,COACALCO DE BERRIOZABAL,MEXICO
2739,NEZAHUALCOYOTL,MEXICO
2740,NEZAHUALCOYOTL,MEXICO
2741,NEZAHUALCOYOTL,MEXICO
2742,NEZAHUALCOYOTL,MEXICO
2743,NEZAHUALCOYOTL,MEXICO
2744,NEZAHUALCOYOTL,MEXICO
2745,NEZAHUALCOYOTL,MEXICO
2746,NEZAHUALCOYOTL,MEXICO
2747,NEZAHUALCOYOTL,MEXICO
2748,NEZAHUALCOYOTL,MEXICO
2749,NEZAHUALCOYOTL,MEXICO
2750,NEZAHUALCOYOTL,MEXICO
2751,NEZAHUALCOYOTL,MEXICO
2752,ATIZAPAN DE ZARAGOZA,MEXICO
2753,ATIZAPAN DE ZARAGOZA,MEXICO
2754,ATIZAPAN DE ZARAGOZA,MEXICO
2755,ATIZAPAN DE ZARAGOZA,MEXICO
2756,ATIZAPAN DE ZARAGOZA,MEXICO
2757,ATIZAPAN DE ZARAGOZA,MEXICO
2758,ATIZAPAN DE ZARAGOZA,MEXICO
2759,ATIZAPAN DE ZARAGOZA,MEXICO
2760,ATIZAPAN DE ZARAGOZA,MEXICO
2761,ATIZAPAN DE ZARAGOZA,MEXICO
2762,ATIZAPAN DE ZARAGOZA,MEXICO
2763,ATIZAPAN DE ZARAGOZA,MEXICO
2764,ATIZAPAN DE ZARAGOZA,MEXICO
2765,ATIZAPAN DE ZARAGOZA,MEXICO
2766,ATIZAPAN DE ZARAGOZA,MEXICO
2767,ATIZAPAN DE ZARAGOZA,MEXICO
2768,ATIZAPAN DE ZARAGOZA,MEXICO
2769,ATIZAPAN DE ZARAGOZA,MEXICO
2770,ATIZAPAN DE ZARAGOZA,MEXICO
2771,ATIZAPAN DE ZARAGOZA,MEXICO
2772,BENITO JUAREZ,DISTRITO FEDERAL
2773,BENITO JUAREZ,DISTRITO FEDERAL
2774,BENITO JUAREZ,DISTRITO FEDERAL
2775,BENITO JUAREZ,DISTRITO FEDERAL
2776,BENITO JUAREZ,DISTRITO FEDERAL
2777,BENITO JUAREZ,DISTRITO FEDERAL
2778,BENITO JUAREZ,DISTRITO FEDERAL
2779,AZCAPOTZALCO,DISTRITO FEDERAL
2780,AZCAPOTZALCO,DISTRITO FEDERAL
2781,AZCAPOTZALCO,DISTRITO FEDERAL
2782,AZCAPOTZALCO,DISTRITO FEDERAL
2783,AZCAPOTZALCO,DISTRITO FEDERAL
2784,AZCAPOTZALCO,DISTRITO FEDERAL
2785,AZCAPOTZALCO,DISTRITO FEDERAL
2786,AZCAPOTZALCO,DISTRITO FEDERAL
2787,AZCAPOTZALCO,DISTRITO FEDERAL
2788,AZCAPOTZALCO,DISTRITO FEDERAL
2789,AZCAPOTZALCO,DISTRITO FEDERAL
2790,AZCAPOTZALCO,DISTRITO FEDERAL
2791,AZCAPOTZALCO,DISTRITO FEDERAL
2792,AZCAPOTZALCO,DISTRITO FEDERAL
2793,AZCAPOTZALCO,DISTRITO FEDERAL
2794,IZTACALCO,DISTRITO FEDERAL
2795,IZTACALCO,DISTRITO FEDERAL
2796,IZTACALCO,DISTRITO FEDERAL
2797,IZTACALCO,DISTRITO FEDERAL
2798,IZTACALCO,DISTRITO FEDERAL
2799,IZTACALCO,DISTRITO FEDERAL
2800,IZTACALCO,DISTRITO FEDERAL
2801,IZTACALCO,DISTRITO FEDERAL
2802,IZTACALCO,DISTRITO FEDERAL
2803,IZTAPALAPA,DISTRITO FEDERAL
2804,IZTAPALAPA,DISTRITO FEDERAL
2805,IZTAPALAPA,DISTRITO FEDERAL
2806,IZTAPALAPA,DISTRITO FEDERAL
2807,IZTAPALAPA,DISTRITO FEDERAL
2808,IZTAPALAPA,DISTRITO FEDERAL
2809,IZTAPALAPA,DISTRITO FEDERAL
2810,IZTAPALAPA,DISTRITO FEDERAL
2811,IZTAPALAPA,DISTRITO FEDERAL
2812,BENITO JUAREZ,DISTRITO FEDERAL
2813,BENITO JUAREZ,DISTRITO FEDERAL
2814,ATIZAPAN DE ZARAGOZA,MEXICO
2815,ATIZAPAN DE ZARAGOZA,MEXICO
2816,ATIZAPAN DE ZARAGOZA,MEXICO
2817,ATIZAPAN DE ZARAGOZA,MEXICO
2818,NAUCALPAN DE JUAREZ,MEXICO
2819,NAUCALPAN DE JUAREZ,MEXICO
2820,NAUCALPAN DE JUAREZ,MEXICO
2821,NAUCALPAN DE JUAREZ,MEXICO
2822,TLALNEPANTLA DE BAZ,MEXICO
2823,TLALNEPANTLA DE BAZ,MEXICO
2824,TLALNEPANTLA DE BAZ,MEXICO
2825,TLALNEPANTLA DE BAZ,MEXICO
2826,CUAUTITLAN IZCALLI,MEXICO
2827,CUAUTITLAN IZCALLI,MEXICO
2828,CUAUTITLAN IZCALLI,MEXICO
2829,CUAUTITLAN IZCALLI,MEXICO
2830,CUAUTITLAN IZCALLI,MEXICO
2831,CUAUTITLAN IZCALLI,MEXICO
2832,CUAUTITLAN IZCALLI,MEXICO
2833,CUAUTITLAN IZCALLI,MEXICO
2834,CUAUTITLAN IZCALLI,MEXICO
2835,CUAUTITLAN IZCALLI,MEXICO
2836,CUAUTITLAN IZCALLI,MEXICO
2837,CUAUTITLAN IZCALLI,MEXICO
2838,CUAUTITLAN IZCALLI,MEXICO
2839,CUAUTITLAN IZCALLI,MEXICO
2840,CUAUTITLAN IZCALLI,MEXICO
2841,CUAUTITLAN IZCALLI,MEXICO
2842,CUAUTITLAN IZCALLI,MEXICO
2843,CUAUTITLAN IZCALLI,MEXICO
2844,CUAUTITLAN IZCALLI,MEXICO
2845,CUAUTITLAN IZCALLI,MEXICO
2846,CUAUTITLAN IZCALLI,MEXICO
2847,CUAUTITLAN IZCALLI,MEXICO
2848,CUAUTITLAN IZCALLI,MEXICO
2849,CUAUTITLAN IZCALLI,MEXICO
2850,CUAUTITLAN IZCALLI,MEXICO
2851,CUAUTITLAN IZCALLI,MEXICO
2852,CUAUTITLAN IZCALLI,MEXICO
2853,CUAUTITLAN IZCALLI,MEXICO
2854,CUAUTITLAN IZCALLI,MEXICO
2855,CUAUTITLAN IZCALLI,MEXICO
2856,HUIXQUILUCAN,MEXICO
2857,HUIXQUILUCAN,MEXICO
2858,HUIXQUILUCAN,MEXICO
2859,HUIXQUILUCAN,MEXICO
2860,HUIXQUILUCAN,MEXICO
2861,HUIXQUILUCAN,MEXICO
2862,HUIXQUILUCAN,MEXICO
2863,HUIXQUILUCAN,MEXICO
2864,HUIXQUILUCAN,MEXICO
2865,HUIXQUILUCAN,MEXICO
2866,HUIXQUILUCAN,MEXICO
2867,HUIXQUILUCAN,MEXICO
2868,HUIXQUILUCAN,MEXICO
2869,HUIXQUILUCAN,MEXICO
2870,HUIXQUILUCAN,MEXICO
2871,HUIXQUILUCAN,MEXICO
2872,HUIXQUILUCAN,MEXICO
2873,CUAUHTEMOC,DISTRITO FEDERAL
2874,CUAUHTEMOC,DISTRITO FEDERAL
2875,CUAUHTEMOC,DISTRITO FEDERAL
2876,CUAUHTEMOC,DISTRITO FEDERAL
2877,CUAUHTEMOC,DISTRITO FEDERAL
2878,CUAUHTEMOC,DISTRITO FEDERAL
2879,CUAUHTEMOC,DISTRITO FEDERAL
2880,CUAUHTEMOC,DISTRITO FEDERAL
2881,CUAUHTEMOC,DISTRITO FEDERAL
2882,CUAUHTEMOC,DISTRITO FEDERAL
2883,CUAUHTEMOC,DISTRITO FEDERAL
2884,CUAUHTEMOC,DISTRITO FEDERAL
2885,CUAUHTEMOC,DISTRITO FEDERAL
2886,CUAUHTEMOC,DISTRITO FEDERAL
2887,CUAUHTEMOC,DISTRITO FEDERAL
2888,CUAUHTEMOC,DISTRITO FEDERAL
2889,CUAUHTEMOC,DISTRITO FEDERAL
2890,CUAUHTEMOC,DISTRITO FEDERAL
2891,ECATEPEC DE MORELOS,MEXICO
2892,ECATEPEC DE MORELOS,MEXICO
2893,ECATEPEC DE MORELOS,MEXICO
2894,ECATEPEC DE MORELOS,MEXICO
2895,CUAUHTEMOC,DISTRITO FEDERAL
2896,CUAUHTEMOC,DISTRITO FEDERAL
2897,CUAUHTEMOC,DISTRITO FEDERAL
2898,ECATEPEC DE MORELOS,MEXICO
2899,ECATEPEC DE MORELOS,MEXICO
2900,ECATEPEC DE MORELOS,MEXICO
2901,ECATEPEC DE MORELOS,MEXICO
2902,ECATEPEC DE MORELOS,MEXICO
2903,ECATEPEC DE MORELOS,MEXICO
2904,ECATEPEC DE MORELOS,MEXICO
2905,ALVARO OBREGON,DISTRITO FEDERAL
2906,ALVARO OBREGON,DISTRITO FEDERAL
2907,AZCAPOTZALCO,DISTRITO FEDERAL
2908,AZCAPOTZALCO,DISTRITO FEDERAL
2909,AZCAPOTZALCO,DISTRITO FEDERAL
2910,AZCAPOTZALCO,DISTRITO FEDERAL
2911,AZCAPOTZALCO,DISTRITO FEDERAL
2912,COYOACAN,DISTRITO FEDERAL
2913,COYOACAN,DISTRITO FEDERAL
2914,IZTACALCO,DISTRITO FEDERAL
2915,IZTACALCO,DISTRITO FEDERAL
2916,IZTACALCO,DISTRITO FEDERAL
2917,IZTACALCO,DISTRITO FEDERAL
2918,IZTACALCO,DISTRITO FEDERAL
2919,CUAUHTEMOC,DISTRITO FEDERAL
2920,CUAUHTEMOC,DISTRITO FEDERAL
2921,CUAUHTEMOC,DISTRITO FEDERAL
2922,CUAUHTEMOC,DISTRITO FEDERAL
2923,CUAUHTEMOC,DISTRITO FEDERAL
2924,CUAUHTEMOC,DISTRITO FEDERAL
2925,CUAUHTEMOC,DISTRITO FEDERAL
2926,CUAUHTEMOC,DISTRITO FEDERAL
2927,CUAUHTEMOC,DISTRITO FEDERAL
2928,CUAUHTEMOC,DISTRITO FEDERAL
2929,CUAUHTEMOC,DISTRITO FEDERAL
2930,CUAUHTEMOC,DISTRITO FEDERAL
2931,VENUSTIANO CARRANZA,DISTRITO FEDERAL
2932,VENUSTIANO CARRANZA,DISTRITO FEDERAL
2933,VENUSTIANO CARRANZA,DISTRITO FEDERAL
2934,BENITO JUAREZ,DISTRITO FEDERAL
2935,BENITO JUAREZ,DISTRITO FEDERAL
2936,BENITO JUAREZ,DISTRITO FEDERAL
2937,CUAUHTEMOC,DISTRITO FEDERAL
2938,CUAUHTEMOC,DISTRITO FEDERAL
2939,CUAUHTEMOC,DISTRITO FEDERAL
2940,IZTACALCO,DISTRITO FEDERAL
2941,IZTACALCO,DISTRITO FEDERAL
2942,IZTACALCO,DISTRITO FEDERAL
2943,IZTACALCO,DISTRITO FEDERAL
2944,CUAUHTEMOC,DISTRITO FEDERAL
2945,CUAUHTEMOC,DISTRITO FEDERAL
2946,CUAUHTEMOC,DISTRITO FEDERAL
2947,CUAUHTEMOC,DISTRITO FEDERAL
2948,CUAUHTEMOC,DISTRITO FEDERAL
2949,AZCAPOTZALCO,DISTRITO FEDERAL
2950,AZCAPOTZALCO,DISTRITO FEDERAL
2951,AZCAPOTZALCO,DISTRITO FEDERAL
2952,AZCAPOTZALCO,DISTRITO FEDERAL
2953,AZCAPOTZALCO,DISTRITO FEDERAL
2954,AZCAPOTZALCO,DISTRITO FEDERAL
2955,AZCAPOTZALCO,DISTRITO FEDERAL
2956,ATIZAPAN DE ZARAGOZA,MEXICO
2957,ATIZAPAN DE ZARAGOZA,MEXICO
2958,ATIZAPAN DE ZARAGOZA,MEXICO
2959,ATIZAPAN DE ZARAGOZA,MEXICO
2960,ATIZAPAN DE ZARAGOZA,MEXICO
2961,ATIZAPAN DE ZARAGOZA,MEXICO
2962,ATIZAPAN DE ZARAGOZA,MEXICO
2963,ATIZAPAN DE ZARAGOZA,MEXICO
2964,COACALCO DE BERRIOZABAL,MEXICO
2965,COACALCO DE BERRIOZABAL,MEXICO
2966,COACALCO DE BERRIOZABAL,MEXICO
2967,COACALCO DE BERRIOZABAL,MEXICO
2968,COACALCO DE BERRIOZABAL,MEXICO
2969,COACALCO DE BERRIOZABAL,MEXICO
2970,COACALCO DE BERRIOZABAL,MEXICO
2971,COACALCO DE BERRIOZABAL,MEXICO
2972,COACALCO DE BERRIOZABAL,MEXICO
2973,COACALCO DE BERRIOZABAL,MEXICO
2974,COACALCO DE BERRIOZABAL,MEXICO
2975,COACALCO DE BERRIOZABAL,MEXICO
2976,COACALCO DE BERRIOZABAL,MEXICO
2977,COACALCO DE BERRIOZABAL,MEXICO
2978,COACALCO DE BERRIOZABAL,MEXICO
2979,COACALCO DE BERRIOZABAL,MEXICO
2980,COACALCO DE BERRIOZABAL,MEXICO
2981,CUAUTITLAN IZCALLI,MEXICO
2982,CUAUTITLAN IZCALLI,MEXICO
2983,CUAUTITLAN IZCALLI,MEXICO
2984,CUAUTITLAN IZCALLI,MEXICO
2985,CUAUTITLAN IZCALLI,MEXICO
2986,CUAUTITLAN IZCALLI,MEXICO
2987,BENITO JUAREZ,DISTRITO FEDERAL
2988,BENITO JUAREZ,DISTRITO FEDERAL
2989,BENITO JUAREZ,DISTRITO FEDERAL
2990,TLALPAN,DISTRITO FEDERAL
2991,TLALPAN,DISTRITO FEDERAL
2992,AZCAPOTZALCO,DISTRITO FEDERAL
2993,AZCAPOTZALCO,DISTRITO FEDERAL
2994,AZCAPOTZALCO,DISTRITO FEDERAL
2995,AZCAPOTZALCO,DISTRITO FEDERAL
2996,AZCAPOTZALCO,DISTRITO FEDERAL
2997,AZCAPOTZALCO,DISTRITO FEDERAL
2998,AZCAPOTZALCO,DISTRITO FEDERAL
2999,AZCAPOTZALCO,DISTRITO FEDERAL
3000,AZCAPOTZALCO,DISTRITO FEDERAL
3001,AZCAPOTZALCO,DISTRITO FEDERAL
3002,MIGUEL HIDALGO,DISTRITO FEDERAL
3003,MIGUEL HIDALGO,DISTRITO FEDERAL
3004,MIGUEL HIDALGO,DISTRITO FEDERAL
3005,VENUSTIANO CARRANZA,DISTRITO FEDERAL
3006,VENUSTIANO CARRANZA,DISTRITO FEDERAL
3007,VENUSTIANO CARRANZA,DISTRITO FEDERAL
3008,VENUSTIANO CARRANZA,DISTRITO FEDERAL
3009,VENUSTIANO CARRANZA,DISTRITO FEDERAL
3010,VENUSTIANO CARRANZA,DISTRITO FEDERAL
3011,VENUSTIANO CARRANZA,DISTRITO FEDERAL
3012,GUSTAVO A. MADERO,DISTRITO FEDERAL
3013,GUSTAVO A. MADERO,DISTRITO FEDERAL
3014,GUSTAVO A. MADERO,DISTRITO FEDERAL
3015,GUSTAVO A. MADERO,DISTRITO FEDERAL
3016,GUSTAVO A. MADERO,DISTRITO FEDERAL
3017,MIGUEL HIDALGO,DISTRITO FEDERAL
3018,MIGUEL HIDALGO,DISTRITO FEDERAL
3019,MIGUEL HIDALGO,DISTRITO FEDERAL
3020,VENUSTIANO CARRANZA,DISTRITO FEDERAL
3021,VENUSTIANO CARRANZA,DISTRITO FEDERAL
3022,VENUSTIANO CARRANZA,DISTRITO FEDERAL
3023,VENUSTIANO CARRANZA,DISTRITO FEDERAL
3024,CUAUHTEMOC,DISTRITO FEDERAL
3025,CUAUHTEMOC,DISTRITO FEDERAL
3026,CUAUHTEMOC,DISTRITO FEDERAL
3027,CUAUHTEMOC,DISTRITO FEDERAL
3028,CUAUHTEMOC,DISTRITO FEDERAL
3029,CUAUHTEMOC,DISTRITO FEDERAL
3030,CUAUHTEMOC,DISTRITO FEDERAL
3031,CUAUHTEMOC,DISTRITO FEDERAL
3032,CUAUHTEMOC,DISTRITO FEDERAL
3033,CUAUHTEMOC,DISTRITO FEDERAL
3034,CUAUHTEMOC,DISTRITO FEDERAL
3035,CUAUHTEMOC,DISTRITO FEDERAL
3036,CUAUHTEMOC,DISTRITO FEDERAL
3037,CUAUHTEMOC,DISTRITO FEDERAL
3038,CUAUHTEMOC,DISTRITO FEDERAL
3039,CUAUHTEMOC,DISTRITO FEDERAL
3040,CUAUHTEMOC,DISTRITO FEDERAL
3041,CUAUHTEMOC,DISTRITO FEDERAL
3042,CUAUHTEMOC,DISTRITO FEDERAL
3043,CUAUHTEMOC,DISTRITO FEDERAL
3044,CUAUHTEMOC,DISTRITO FEDERAL
3045,CUAUHTEMOC,DISTRITO FEDERAL
3046,CUAUHTEMOC,DISTRITO FEDERAL
3047,CUAUHTEMOC,DISTRITO FEDERAL
3048,CUAUHTEMOC,DISTRITO FEDERAL
3049,CUAUHTEMOC,DISTRITO FEDERAL
3050,CUAUHTEMOC,DISTRITO FEDERAL
3051,CUAUHTEMOC,DISTRITO FEDERAL
3052,CUAUHTEMOC,DISTRITO FEDERAL
3053,CUAUHTEMOC,DISTRITO FEDERAL
3054,CUAUHTEMOC,DISTRITO FEDERAL
3055,CUAUHTEMOC,DISTRITO FEDERAL
3056,CUAUHTEMOC,DISTRITO FEDERAL
3057,CUAUHTEMOC,DISTRITO FEDERAL
3058,CUAUHTEMOC,DISTRITO FEDERAL
3059,CUAUHTEMOC,DISTRITO FEDERAL
3060,CUAUHTEMOC,DISTRITO FEDERAL
3061,CUAUHTEMOC,DISTRITO FEDERAL
3062,CUAUHTEMOC,DISTRITO FEDERAL
3063,CUAUHTEMOC,DISTRITO FEDERAL
3064,CUAUHTEMOC,DISTRITO FEDERAL
3065,ALVARO OBREGON,DISTRITO FEDERAL
3066,ALVARO OBREGON,DISTRITO FEDERAL
3067,ALVARO OBREGON,DISTRITO FEDERAL
3068,ALVARO OBREGON,DISTRITO FEDERAL
3069,ALVARO OBREGON,DISTRITO FEDERAL
3070,AZCAPOTZALCO,DISTRITO FEDERAL
3071,AZCAPOTZALCO,DISTRITO FEDERAL
3072,AZCAPOTZALCO,DISTRITO FEDERAL
3073,AZCAPOTZALCO,DISTRITO FEDERAL
3074,AZCAPOTZALCO,DISTRITO FEDERAL
3075,AZCAPOTZALCO,DISTRITO FEDERAL
3076,AZCAPOTZALCO,DISTRITO FEDERAL
3077,AZCAPOTZALCO,DISTRITO FEDERAL
3078,AZCAPOTZALCO,DISTRITO FEDERAL
3079,AZCAPOTZALCO,DISTRITO FEDERAL
3080,AZCAPOTZALCO,DISTRITO FEDERAL
3081,BENITO JUAREZ,DISTRITO FEDERAL
3082,BENITO JUAREZ,DISTRITO FEDERAL
3083,AZCAPOTZALCO,DISTRITO FEDERAL
3084,AZCAPOTZALCO,DISTRITO FEDERAL
3085,ALVARO OBREGON,DISTRITO FEDERAL
3086,ALVARO OBREGON,DISTRITO FEDERAL
3087,ALVARO OBREGON,DISTRITO FEDERAL
3088,ALVARO OBREGON,DISTRITO FEDERAL
3089,ALVARO OBREGON,DISTRITO FEDERAL
3090,ALVARO OBREGON,DISTRITO FEDERAL
3091,BENITO JUAREZ,DISTRITO FEDERAL
3092,BENITO JUAREZ,DISTRITO FEDERAL
3093,BENITO JUAREZ,DISTRITO FEDERAL
3094,BENITO JUAREZ,DISTRITO FEDERAL
3095,COYOACAN,DISTRITO FEDERAL
3096,COYOACAN,DISTRITO FEDERAL
3097,AZCAPOTZALCO,DISTRITO FEDERAL
3098,AZCAPOTZALCO,DISTRITO FEDERAL
3099,AZCAPOTZALCO,DISTRITO FEDERAL
3100,AZCAPOTZALCO,DISTRITO FEDERAL
3101,AZCAPOTZALCO,DISTRITO FEDERAL
3102,AZCAPOTZALCO,DISTRITO FEDERAL
3103,AZCAPOTZALCO,DISTRITO FEDERAL
3104,VENUSTIANO CARRANZA,DISTRITO FEDERAL
3105,VENUSTIANO CARRANZA,DISTRITO FEDERAL
3106,VENUSTIANO CARRANZA,DISTRITO FEDERAL
3107,MIGUEL HIDALGO,DISTRITO FEDERAL
3108,MIGUEL HIDALGO,DISTRITO FEDERAL
3109,ALVARO OBREGON,DISTRITO FEDERAL
3110,ALVARO OBREGON,DISTRITO FEDERAL
3111,ALVARO OBREGON,DISTRITO FEDERAL
3112,AZCAPOTZALCO,DISTRITO FEDERAL
3113,AZCAPOTZALCO,DISTRITO FEDERAL
3114,AZCAPOTZALCO,DISTRITO FEDERAL
3115,AZCAPOTZALCO,DISTRITO FEDERAL
3116,AZCAPOTZALCO,DISTRITO FEDERAL
3117,AZCAPOTZALCO,DISTRITO FEDERAL
3118,AZCAPOTZALCO,DISTRITO FEDERAL
3119,AZCAPOTZALCO,DISTRITO FEDERAL
3120,AZCAPOTZALCO,DISTRITO FEDERAL
3121,GUSTAVO A. MADERO,DISTRITO FEDERAL
3122,GUSTAVO A. MADERO,DISTRITO FEDERAL
3123,GUSTAVO A. MADERO,DISTRITO FEDERAL
3124,GUSTAVO A. MADERO,DISTRITO FEDERAL
3125,GUSTAVO A. MADERO,DISTRITO FEDERAL
3126,GUSTAVO A. MADERO,DISTRITO FEDERAL
3127,GUSTAVO A. MADERO,DISTRITO FEDERAL
3128,GUSTAVO A. MADERO,DISTRITO FEDERAL
3129,GUSTAVO A. MADERO,DISTRITO FEDERAL
3130,GUSTAVO A. MADERO,DISTRITO FEDERAL
3131,GUSTAVO A. MADERO,DISTRITO FEDERAL
3132,GUSTAVO A. MADERO,DISTRITO FEDERAL
3133,IZTACALCO,DISTRITO FEDERAL
3134,IZTACALCO,DISTRITO FEDERAL
3135,IZTACALCO,DISTRITO FEDERAL
3136,IZTACALCO,DISTRITO FEDERAL
3137,IZTACALCO,DISTRITO FEDERAL
3138,IZTACALCO,DISTRITO FEDERAL
3139,MIGUEL HIDALGO,DISTRITO FEDERAL
3140,MIGUEL HIDALGO,DISTRITO FEDERAL
3141,MIGUEL HIDALGO,DISTRITO FEDERAL
3142,MIGUEL HIDALGO,DISTRITO FEDERAL
3143,MIGUEL HIDALGO,DISTRITO FEDERAL
3144,MIGUEL HIDALGO,DISTRITO FEDERAL
3145,MIGUEL HIDALGO,DISTRITO FEDERAL
3146,GUSTAVO A. MADERO,DISTRITO FEDERAL
3147,GUSTAVO A. MADERO,DISTRITO FEDERAL
3148,GUSTAVO A. MADERO,DISTRITO FEDERAL
3149,CUAUHTEMOC,DISTRITO FEDERAL
3150,CUAUHTEMOC,DISTRITO FEDERAL
3151,CUAUHTEMOC,DISTRITO FEDERAL
3152,CUAUHTEMOC,DISTRITO FEDERAL
3153,CUAUHTEMOC,DISTRITO FEDERAL
3154,CUAUHTEMOC,DISTRITO FEDERAL
3155,CUAUHTEMOC,DISTRITO FEDERAL
3156,CUAUHTEMOC,DISTRITO FEDERAL
3157,CUAUHTEMOC,DISTRITO FEDERAL
3158,CUAUHTEMOC,DISTRITO FEDERAL
3159,CUAUHTEMOC,DISTRITO FEDERAL
3160,CUAUHTEMOC,DISTRITO FEDERAL
3161,CUAUHTEMOC,DISTRITO FEDERAL
3162,CUAUHTEMOC,DISTRITO FEDERAL
3163,CUAUHTEMOC,DISTRITO FEDERAL
3164,CUAUHTEMOC,DISTRITO FEDERAL
3165,CUAUHTEMOC,DISTRITO FEDERAL
3166,CUAUHTEMOC,DISTRITO FEDERAL
3167,CUAUHTEMOC,DISTRITO FEDERAL
3168,CUAUHTEMOC,DISTRITO FEDERAL
3169,CUAUHTEMOC,DISTRITO FEDERAL
3170,CUAUHTEMOC,DISTRITO FEDERAL
3171,CUAUHTEMOC,DISTRITO FEDERAL
3172,CUAUHTEMOC,DISTRITO FEDERAL
3173,CUAUHTEMOC,DISTRITO FEDERAL
3174,CUAUHTEMOC,DISTRITO FEDERAL
3175,CUAUHTEMOC,DISTRITO FEDERAL
3176,CUAUHTEMOC,DISTRITO FEDERAL
3177,CUAUHTEMOC,DISTRITO FEDERAL
3178,CUAUHTEMOC,DISTRITO FEDERAL
3179,CUAUHTEMOC,DISTRITO FEDERAL
3180,CUAUHTEMOC,DISTRITO FEDERAL
3181,CUAUHTEMOC,DISTRITO FEDERAL
3182,ALVARO OBREGON,DISTRITO FEDERAL
3183,ALVARO OBREGON,DISTRITO FEDERAL
3184,ALVARO OBREGON,DISTRITO FEDERAL
3185,ALVARO OBREGON,DISTRITO FEDERAL
3186,ALVARO OBREGON,DISTRITO FEDERAL
3187,ALVARO OBREGON,DISTRITO FEDERAL
3188,ALVARO OBREGON,DISTRITO FEDERAL
3189,ALVARO OBREGON,DISTRITO FEDERAL
3190,ALVARO OBREGON,DISTRITO FEDERAL
3191,BENITO JUAREZ,DISTRITO FEDERAL
3192,BENITO JUAREZ,DISTRITO FEDERAL
3193,BENITO JUAREZ,DISTRITO FEDERAL
3194,BENITO JUAREZ,DISTRITO FEDERAL
3195,BENITO JUAREZ,DISTRITO FEDERAL
3196,BENITO JUAREZ,DISTRITO FEDERAL
3197,BENITO JUAREZ,DISTRITO FEDERAL
3198,CUAUHTEMOC,DISTRITO FEDERAL
3199,CUAUHTEMOC,DISTRITO FEDERAL
3200,CUAUHTEMOC,DISTRITO FEDERAL
3201,CUAUHTEMOC,DISTRITO FEDERAL
3202,CUAUHTEMOC,DISTRITO FEDERAL
3203,CUAUHTEMOC,DISTRITO FEDERAL
3204,ALVARO OBREGON,DISTRITO FEDERAL
3205,ALVARO OBREGON,DISTRITO FEDERAL
3206,ALVARO OBREGON,DISTRITO FEDERAL
3207,ALVARO OBREGON,DISTRITO FEDERAL
3208,ALVARO OBREGON,DISTRITO FEDERAL
3209,AZCAPOTZALCO,DISTRITO FEDERAL
3210,AZCAPOTZALCO,DISTRITO FEDERAL
3211,AZCAPOTZALCO,DISTRITO FEDERAL
3212,AZCAPOTZALCO,DISTRITO FEDERAL
3213,AZCAPOTZALCO,DISTRITO FEDERAL
3214,AZCAPOTZALCO,DISTRITO FEDERAL
3215,CUAUHTEMOC,DISTRITO FEDERAL
3216,CUAUHTEMOC,DISTRITO FEDERAL
3217,CUAUHTEMOC,DISTRITO FEDERAL
3218,CUAUHTEMOC,DISTRITO FEDERAL
3219,CUAUHTEMOC,DISTRITO FEDERAL
3220,CUAUHTEMOC,DISTRITO FEDERAL
