IDENTIFICADOR_DEL_REGISTRO,MUNICIPIO,ENTIDAD
131,AGUASCALIENTES,AGUASCALIENTES
132,TIJUANA,BAJA CALIFORNIA
133,TIJUANA,BAJA CALIFORNIA
134,TECATE,BAJA CALIFORNIA
135,TECATE,BAJA CALIFORNIA
136,TECATE,BAJA CALIFORNIA
137,TECATE,BAJA CALIFORNIA
138,TECATE,BAJA CALIFORNIA
139,TECATE,BAJA CALIFORNIA
140,TECATE,BAJA CALIFORNIA
141,TECATE,BAJA CALIFORNIA
142,TIJUANA,BAJA CALIFORNIA
143,TIJUANA,BAJA CALIFORNIA
144,TIJUANA,BAJA CALIFORNIA
145,TIJUANA,BAJA CALIFORNIA
146,TIJUANA,BAJA CALIFORNIA
147,TECATE,BAJA CALIFORNIA
148,TIJUANA,BAJA CALIFORNIA
149,TIJUANA,BAJA CALIFORNIA
150,TIJUANA,BAJA CALIFORNIA
151,TIJUANA,BAJA CALIFORNIA
152,TIJUANA,BAJA CALIFORNIA
153,TIJUANA,BAJA CALIFORNIA
154,TIJUANA,BAJA CALIFORNIA
155,TIJUANA,BAJA CALIFORNIA
156,TIJUANA,BAJA CALIFORNIA
157,TIJUANA,BAJA CALIFORNIA
158,TIJUANA,BAJA CALIFORNIA
159,TIJUANA,BAJA CALIFORNIA
160,TIJUANA,BAJA CALIFORNIA
161,TIJUANA,BAJA CALIFORNIA
162,TIJUANA,BAJA CALIFORNIA
163,TIJUANA,BAJA CALIFORNIA
164,ROSARITO,BAJA CALIFORNIA
165,ROSARITO,BAJA CALIFORNIA
166,ROSARITO,BAJA CALIFORNIA
167,TIJUANA,BAJA CALIFORNIA
168,TIJUANA,BAJA CALIFORNIA
169,TIJUANA,BAJA CALIFORNIA
170,TIJUANA,BAJA CALIFORNIA
171,TIJUANA,BAJA CALIFORNIA
172,TIJUANA,BAJA CALIFORNIA
173,ENSENADA,BAJA CALIFORNIA
174,TIJUANA,BAJA CALIFORNIA
175,TIJUANA,BAJA CALIFORNIA
176,TIJUANA,BAJA CALIFORNIA
177,ENSENADA,BAJA CALIFORNIA
178,ENSENADA,BAJA CALIFORNIA
179,ENSENADA,BAJA CALIFORNIA
180,TIJUANA,BAJA CALIFORNIA
181,TIJUANA,BAJA CALIFORNIA
182,TIJUANA,BAJA CALIFORNIA
183,TIJUANA,BAJA CALIFORNIA
184,TIJUANA,BAJA CALIFORNIA
185,TIJUANA,BAJA CALIFORNIA
186,TIJUANA,BAJA CALIFORNIA
187,TIJUANA,BAJA CALIFORNIA
188,TIJUANA,BAJA CALIFORNIA
189,TIJUANA,BAJA CALIFORNIA
190,TIJUANA,BAJA CALIFORNIA
191,TIJUANA,BAJA CALIFORNIA
192,TIJUANA,BAJA CALIFORNIA
193,TIJUANA,BAJA CALIFORNIA
194,ENSENADA,BAJA CALIFORNIA
195,ENSENADA,BAJA CALIFORNIA
196,ENSENADA,BAJA CALIFORNIA
197,ENSENADA,BAJA CALIFORNIA
198,TIJUANA,BAJA CALIFORNIA
199,TECATE,BAJA CALIFORNIA
200,TECATE,BAJA CALIFORNIA
201,ENSENADA,BAJA CALIFORNIA
202,TIJUANA,BAJA CALIFORNIA
203,ROSARITO,BAJA CALIFORNIA
204,TIJUANA,BAJA CALIFORNIA
205,TIJUANA,BAJA CALIFORNIA
206,TIJUANA,BAJA CALIFORNIA
207,TIJUANA,BAJA CALIFORNIA
208,TIJUANA,BAJA CALIFORNIA
209,TIJUANA,BAJA CALIFORNIA
210,TIJUANA,BAJA CALIFORNIA
211,TIJUANA,BAJA CALIFORNIA
212,TIJUANA,BAJA CALIFORNIA
213,TIJUANA,BAJA CALIFORNIA
214,TIJUANA,BAJA CALIFORNIA
215,TIJUANA,BAJA CALIFORNIA
216,TIJUANA,BAJA CALIFORNIA
217,TIJUANA,BAJA CALIFORNIA
218,ROSARITO,BAJA CALIFORNIA
219,TIJUANA,BAJA CALIFORNIA
220,TIJUANA,BAJA CALIFORNIA
221,TIJUANA,BAJA CALIFORNIA
222,ROSARITO,BAJA CALIFORNIA
223,TIJUANA,BAJA CALIFORNIA
224,TIJUANA,BAJA CALIFORNIA
225,TIJUANA,BAJA CALIFORNIA
226,TIJUANA,BAJA CALIFORNIA
227,TIJUANA,BAJA CALIFORNIA
228,TIJUANA,BAJA CALIFORNIA
229,TIJUANA,BAJA CALIFORNIA
230,TIJUANA,BAJA CALIFORNIA
231,ENSENADA,BAJA CALIFORNIA
232,TIJUANA,BAJA CALIFORNIA
233,ROSARITO,BAJA CALIFORNIA
234,TIJUANA,BAJA CALIFORNIA
235,ROSARITO,BAJA CALIFORNIA
236,TIJUANA,BAJA CALIFORNIA
237,TIJUANA,BAJA CALIFORNIA
238,TIJUANA,BAJA CALIFORNIA
239,TIJUANA,BAJA CALIFORNIA
240,TIJUANA,BAJA CALIFORNIA
241,TIJUANA,BAJA CALIFORNIA
242,TIJUANA,BAJA CALIFORNIA
243,ROSARITO,BAJA CALIFORNIA
244,TIJUANA,BAJA CALIFORNIA
245,TIJUANA,BAJA CALIFORNIA
246,TIJUANA,BAJA CALIFORNIA
247,TIJUANA,BAJA CALIFORNIA
248,TIJUANA,BAJA CALIFORNIA
249,TIJUANA,BAJA CALIFORNIA
250,TIJUANA,BAJA CALIFORNIA
251,TIJUANA,BAJA CALIFORNIA
252,TIJUANA,BAJA CALIFORNIA
253,TIJUANA,BAJA CALIFORNIA
254,TIJUANA,BAJA CALIFORNIA
255,TIJUANA,BAJA CALIFORNIA
256,TIJUANA,BAJA CALIFORNIA
257,ROSARITO,BAJA CALIFORNIA
258,ROSARITO,BAJA CALIFORNIA
259,TIJUANA,BAJA CALIFORNIA
260,ROSARITO,BAJA CALIFORNIA
261,ROSARITO,BAJA CALIFORNIA
262,TIJUANA,BAJA CALIFORNIA
263,TIJUANA,BAJA CALIFORNIA
264,TIJUANA,BAJA CALIFORNIA
265,TIJUANA,BAJA CALIFORNIA
266,TIJUANA,BAJA CALIFORNIA
267,TIJUANA,BAJA CALIFORNIA
268,TIJUANA,BAJA CALIFORNIA
269,TIJUANA,BAJA CALIFORNIA
270,TIJUANA,BAJA CALIFORNIA
271,TIJUANA,BAJA CALIFORNIA
272,TIJUANA,BAJA CALIFORNIA
273,TIJUANA,BAJA CALIFORNIA
274,TIJUANA,BAJA CALIFORNIA
275,TIJUANA,BAJA CALIFORNIA
276,TIJUANA,BAJA CALIFORNIA
277,TIJUANA,BAJA CALIFORNIA
278,ENSENADA,BAJA CALIFORNIA
279,ENSENADA,BAJA CALIFORNIA
280,TIJUANA,BAJA CALIFORNIA
281,ENSENADA,BAJA CALIFORNIA
282,ENSENADA,BAJA CALIFORNIA
283,TIJUANA,BAJA CALIFORNIA
284,TIJUANA,BAJA CALIFORNIA
285,TIJUANA,BAJA CALIFORNIA
286,TIJUANA,BAJA CALIFORNIA
287,TIJUANA,BAJA CALIFORNIA
288,TIJUANA,BAJA CALIFORNIA
289,TIJUANA,BAJA CALIFORNIA
290,TIJUANA,BAJA CALIFORNIA
291,TIJUANA,BAJA CALIFORNIA
292,TIJUANA,BAJA CALIFORNIA
293,TIJUANA,BAJA CALIFORNIA
294,TIJUANA,BAJA CALIFORNIA
295,TIJUANA,BAJA CALIFORNIA
296,TIJUANA,BAJA CALIFORNIA
297,TIJUANA,BAJA CALIFORNIA
298,TIJUANA,BAJA CALIFORNIA
299,ROSARITO,BAJA CALIFORNIA
300,ROSARITO,BAJA CALIFORNIA
301,TIJUANA,BAJA CALIFORNIA
302,TIJUANA,BAJA CALIFORNIA
303,TIJUANA,BAJA CALIFORNIA
304,TIJUANA,BAJA CALIFORNIA
305,TIJUANA,BAJA CALIFORNIA
306,TIJUANA,BAJA CALIFORNIA
307,TIJUANA,BAJA CALIFORNIA
308,TIJUANA,BAJA CALIFORNIA
309,TIJUANA,BAJA CALIFORNIA
310,TIJUANA,BAJA CALIFORNIA
311,PAZ  LA,BAJA CALIFORNIA SUR
312,PAZ  LA,BAJA CALIFORNIA SUR
313,PAZ  LA,BAJA CALIFORNIA SUR
314,PAZ  LA,BAJA CALIFORNIA SUR
315,PAZ  LA,BAJA CALIFORNIA SUR
316,PAZ  LA,BAJA CALIFORNIA SUR
317,PAZ  LA,BAJA CALIFORNIA SUR
318,PAZ  LA,BAJA CALIFORNIA SUR
319,PAZ  LA,BAJA CALIFORNIA SUR
320,PAZ  LA,BAJA CALIFORNIA SUR
321,PAZ  LA,BAJA CALIFORNIA SUR
322,PAZ  LA,BAJA CALIFORNIA SUR
323,PAZ  LA,BAJA CALIFORNIA SUR
324,PAZ  LA,BAJA CALIFORNIA SUR
325,PAZ  LA,BAJA CALIFORNIA SUR
326,PAZ  LA,BAJA CALIFORNIA SUR
327,PAZ  LA,BAJA CALIFORNIA SUR
328,PAZ  LA,BAJA CALIFORNIA SUR
329,PAZ  LA,BAJA CALIFORNIA SUR
330,PAZ  LA,BAJA CALIFORNIA SUR
331,PAZ  LA,BAJA CALIFORNIA SUR
332,PAZ  LA,BAJA CALIFORNIA SUR
333,PAZ  LA,BAJA CALIFORNIA SUR
334,PAZ  LA,BAJA CALIFORNIA SUR
335,PAZ  LA,BAJA CALIFORNIA SUR
336,PAZ  LA,BAJA CALIFORNIA SUR
337,PAZ  LA,BAJA CALIFORNIA SUR
338,PAZ  LA,BAJA CALIFORNIA SUR
339,PAZ  LA,BAJA CALIFORNIA SUR
340,PAZ  LA,BAJA CALIFORNIA SUR
341,PAZ  LA,BAJA CALIFORNIA SUR
342,PAZ  LA,BAJA CALIFORNIA SUR
343,PAZ  LA,BAJA CALIFORNIA SUR
344,PAZ  LA,BAJA CALIFORNIA SUR
345,PAZ  LA,BAJA CALIFORNIA SUR
346,PAZ  LA,BAJA CALIFORNIA SUR
347,PAZ  LA,BAJA CALIFORNIA SUR
348,PAZ  LA,BAJA CALIFORNIA SUR
349,PAZ  LA,BAJA CALIFORNIA SUR
350,PAZ  LA,BAJA CALIFORNIA SUR
351,PAZ  LA,BAJA CALIFORNIA SUR
352,PAZ  LA,BAJA CALIFORNIA SUR
353,PAZ  LA,BAJA CALIFORNIA SUR
354,PAZ  LA,BAJA CALIFORNIA SUR
355,PAZ  LA,BAJA CALIFORNIA SUR
356,PAZ  LA,BAJA CALIFORNIA SUR
357,PAZ  LA,BAJA CALIFORNIA SUR
358,PAZ  LA,BAJA CALIFORNIA SUR
359,PAZ  LA,BAJA CALIFORNIA SUR
360,PAZ  LA,BAJA CALIFORNIA SUR
361,PAZ  LA,BAJA CALIFORNIA SUR
362,PAZ  LA,BAJA CALIFORNIA SUR
363,PAZ  LA,BAJA CALIFORNIA SUR
364,PAZ  LA,BAJA CALIFORNIA SUR
365,PAZ  LA,BAJA CALIFORNIA SUR
366,PAZ  LA,BAJA CALIFORNIA SUR
367,PAZ  LA,BAJA CALIFORNIA SUR
368,PAZ  LA,BAJA CALIFORNIA SUR
369,PAZ  LA,BAJA CALIFORNIA SUR
370,PAZ  LA,BAJA CALIFORNIA SUR
371,PAZ  LA,BAJA CALIFORNIA SUR
372,PAZ  LA,BAJA CALIFORNIA SUR
373,PAZ  LA,BAJA CALIFORNIA SUR
374,PAZ  LA,BAJA CALIFORNIA SUR
375,PAZ  LA,BAJA CALIFORNIA SUR
376,PAZ  LA,BAJA CALIFORNIA SUR
377,PAZ  LA,BAJA CALIFORNIA SUR
378,PAZ  LA,BAJA CALIFORNIA SUR
379,PAZ  LA,BAJA CALIFORNIA SUR
380,PAZ  LA,BAJA CALIFORNIA SUR
381,PAZ  LA,BAJA CALIFORNIA SUR
382,PAZ  LA,BAJA CALIFORNIA SUR
383,PAZ  LA,BAJA CALIFORNIA SUR
384,PAZ  LA,BAJA CALIFORNIA SUR
385,PAZ  LA,BAJA CALIFORNIA SUR
386,PAZ  LA,BAJA CALIFORNIA SUR
387,PAZ  LA,BAJA CALIFORNIA SUR
388,PAZ  LA,BAJA CALIFORNIA SUR
389,PAZ  LA,BAJA CALIFORNIA SUR
390,PAZ  LA,BAJA CALIFORNIA SUR
391,PAZ  LA,BAJA CALIFORNIA SUR
392,PAZ  LA,BAJA CALIFORNIA SUR
393,PAZ  LA,BAJA CALIFORNIA SUR
394,PAZ  LA,BAJA CALIFORNIA SUR
395,PAZ  LA,BAJA CALIFORNIA SUR
396,PAZ  LA,BAJA CALIFORNIA SUR
397,PAZ  LA,BAJA CALIFORNIA SUR
398,PAZ  LA,BAJA CALIFORNIA SUR
399,PAZ  LA,BAJA CALIFORNIA SUR
400,PAZ  LA,BAJA CALIFORNIA SUR
401,PAZ  LA,BAJA CALIFORNIA SUR
402,PAZ  LA,BAJA CALIFORNIA SUR
403,PAZ  LA,BAJA CALIFORNIA SUR
404,PAZ  LA,BAJA CALIFORNIA SUR
405,PAZ  LA,BAJA CALIFORNIA SUR
406,PAZ  LA,BAJA CALIFORNIA SUR
407,PAZ  LA,BAJA CALIFORNIA SUR
408,PAZ  LA,BAJA CALIFORNIA SUR
409,PAZ  LA,BAJA CALIFORNIA SUR
410,PAZ  LA,BAJA CALIFORNIA SUR
411,PAZ  LA,BAJA CALIFORNIA SUR
412,PAZ  LA,BAJA CALIFORNIA SUR
413,PAZ  LA,BAJA CALIFORNIA SUR
414,PAZ  LA,BAJA CALIFORNIA SUR
415,PAZ  LA,BAJA CALIFORNIA SUR
416,PAZ  LA,BAJA CALIFORNIA SUR
417,PAZ  LA,BAJA CALIFORNIA SUR
418,PAZ  LA,BAJA CALIFORNIA SUR
419,PAZ  LA,BAJA CALIFORNIA SUR
420,PAZ  LA,BAJA CALIFORNIA SUR
421,PAZ  LA,BAJA CALIFORNIA SUR
422,PAZ  LA,BAJA CALIFORNIA SUR
423,PAZ  LA,BAJA CALIFORNIA SUR
424,PAZ  LA,BAJA CALIFORNIA SUR
425,PAZ  LA,BAJA CALIFORNIA SUR
426,PAZ  LA,BAJA CALIFORNIA SUR
427,PAZ  LA,BAJA CALIFORNIA SUR
428,PAZ  LA,BAJA CALIFORNIA SUR
429,PAZ  LA,BAJA CALIFORNIA SUR
430,PAZ  LA,BAJA CALIFORNIA SUR
431,PAZ  LA,BAJA CALIFORNIA SUR
432,PAZ  LA,BAJA CALIFORNIA SUR
433,PAZ  LA,BAJA CALIFORNIA SUR
434,PAZ  LA,BAJA CALIFORNIA SUR
435,PAZ  LA,BAJA CALIFORNIA SUR
436,PAZ  LA,BAJA CALIFORNIA SUR
437,PAZ  LA,BAJA CALIFORNIA SUR
438,PAZ  LA,BAJA CALIFORNIA SUR
439,PAZ  LA,BAJA CALIFORNIA SUR
440,PAZ  LA,BAJA CALIFORNIA SUR
441,PAZ  LA,BAJA CALIFORNIA SUR
442,PAZ  LA,BAJA CALIFORNIA SUR
443,PAZ  LA,BAJA CALIFORNIA SUR
444,PAZ  LA,BAJA CALIFORNIA SUR
445,PAZ  LA,BAJA CALIFORNIA SUR
446,PAZ  LA,BAJA CALIFORNIA SUR
447,PAZ  LA,BAJA CALIFORNIA SUR
448,PAZ  LA,BAJA CALIFORNIA SUR
449,PAZ  LA,BAJA CALIFORNIA SUR
450,PAZ  LA,BAJA CALIFORNIA SUR
451,PAZ  LA,BAJA CALIFORNIA SUR
452,PAZ  LA,BAJA CALIFORNIA SUR
453,PAZ  LA,BAJA CALIFORNIA SUR
454,PAZ  LA,BAJA CALIFORNIA SUR
455,PAZ  LA,BAJA CALIFORNIA SUR
456,PAZ  LA,BAJA CALIFORNIA SUR
457,PAZ  LA,BAJA CALIFORNIA SUR
458,PAZ  LA,BAJA CALIFORNIA SUR
459,PAZ  LA,BAJA CALIFORNIA SUR
460,PAZ  LA,BAJA CALIFORNIA SUR
461,PAZ  LA,BAJA CALIFORNIA SUR
462,PAZ  LA,BAJA CALIFORNIA SUR
463,PAZ  LA,BAJA CALIFORNIA SUR
464,PAZ  LA,BAJA CALIFORNIA SUR
465,PAZ  LA,BAJA CALIFORNIA SUR
466,PAZ  LA,BAJA CALIFORNIA SUR
467,PAZ  LA,BAJA CALIFORNIA SUR
468,PAZ  LA,BAJA CALIFORNIA SUR
469,PAZ  LA,BAJA CALIFORNIA SUR
470,PAZ  LA,BAJA CALIFORNIA SUR
471,PAZ  LA,BAJA CALIFORNIA SUR
472,PAZ  LA,BAJA CALIFORNIA SUR
473,PAZ  LA,BAJA CALIFORNIA SUR
474,PAZ  LA,BAJA CALIFORNIA SUR
475,PAZ  LA,BAJA CALIFORNIA SUR
476,PAZ  LA,BAJA CALIFORNIA SUR
477,PAZ  LA,BAJA CALIFORNIA SUR
478,PAZ  LA,BAJA CALIFORNIA SUR
479,PAZ  LA,BAJA CALIFORNIA SUR
480,PAZ  LA,BAJA CALIFORNIA SUR
481,PAZ  LA,BAJA CALIFORNIA SUR
482,PAZ  LA,BAJA CALIFORNIA SUR
483,PAZ  LA,BAJA CALIFORNIA SUR
484,PAZ  LA,BAJA CALIFORNIA SUR
485,PAZ  LA,BAJA CALIFORNIA SUR
486,PAZ  LA,BAJA CALIFORNIA SUR
487,PAZ  LA,BAJA CALIFORNIA SUR
488,PAZ  LA,BAJA CALIFORNIA SUR
489,PAZ  LA,BAJA CALIFORNIA SUR
490,PAZ  LA,BAJA CALIFORNIA SUR
491,PAZ  LA,BAJA CALIFORNIA SUR
492,PAZ  LA,BAJA CALIFORNIA SUR
493,PAZ  LA,BAJA CALIFORNIA SUR
494,PAZ  LA,BAJA CALIFORNIA SUR
495,PAZ  LA,BAJA CALIFORNIA SUR
496,PAZ  LA,BAJA CALIFORNIA SUR
497,PAZ  LA,BAJA CALIFORNIA SUR
498,PAZ  LA,BAJA CALIFORNIA SUR
499,PAZ  LA,BAJA CALIFORNIA SUR
500,PAZ  LA,BAJA CALIFORNIA SUR
501,PAZ  LA,BAJA CALIFORNIA SUR
502,PAZ  LA,BAJA CALIFORNIA SUR
503,PAZ  LA,BAJA CALIFORNIA SUR
504,PAZ  LA,BAJA CALIFORNIA SUR
505,PAZ  LA,BAJA CALIFORNIA SUR
506,PAZ  LA,BAJA CALIFORNIA SUR
507,PAZ  LA,BAJA CALIFORNIA SUR
508,PAZ  LA,BAJA CALIFORNIA SUR
509,PAZ  LA,BAJA CALIFORNIA SUR
510,PAZ  LA,BAJA CALIFORNIA SUR
511,PAZ  LA,BAJA CALIFORNIA SUR
512,PAZ  LA,BAJA CALIFORNIA SUR
513,PAZ  LA,BAJA CALIFORNIA SUR
514,PAZ  LA,BAJA CALIFORNIA SUR
515,PAZ  LA,BAJA CALIFORNIA SUR
516,PAZ  LA,BAJA CALIFORNIA SUR
517,PAZ  LA,BAJA CALIFORNIA SUR
518,PAZ  LA,BAJA CALIFORNIA SUR
519,PAZ  LA,BAJA CALIFORNIA SUR
520,PAZ  LA,BAJA CALIFORNIA SUR
521,PAZ  LA,BAJA CALIFORNIA SUR
522,PAZ  LA,BAJA CALIFORNIA SUR
523,PAZ  LA,BAJA CALIFORNIA SUR
524,PAZ  LA,BAJA CALIFORNIA SUR
525,PAZ  LA,BAJA CALIFORNIA SUR
526,PAZ  LA,BAJA CALIFORNIA SUR
527,PAZ  LA,BAJA CALIFORNIA SUR
528,PAZ  LA,BAJA CALIFORNIA SUR
529,PAZ  LA,BAJA CALIFORNIA SUR
530,PAZ  LA,BAJA CALIFORNIA SUR
531,PAZ  LA,BAJA CALIFORNIA SUR
532,PAZ  LA,BAJA CALIFORNIA SUR
533,PAZ  LA,BAJA CALIFORNIA SUR
534,PAZ  LA,BAJA CALIFORNIA SUR
535,PAZ  LA,BAJA CALIFORNIA SUR
536,PAZ  LA,BAJA CALIFORNIA SUR
537,PAZ  LA,BAJA CALIFORNIA SUR
538,PAZ  LA,BAJA CALIFORNIA SUR
539,PAZ  LA,BAJA CALIFORNIA SUR
540,PAZ  LA,BAJA CALIFORNIA SUR
541,PAZ  LA,BAJA CALIFORNIA SUR
542,PAZ  LA,BAJA CALIFORNIA SUR
543,PAZ  LA,BAJA CALIFORNIA SUR
544,PAZ  LA,BAJA CALIFORNIA SUR
545,PAZ  LA,BAJA CALIFORNIA SUR
546,PAZ  LA,BAJA CALIFORNIA SUR
547,PAZ  LA,BAJA CALIFORNIA SUR
548,PAZ  LA,BAJA CALIFORNIA SUR
549,PAZ  LA,BAJA CALIFORNIA SUR
550,PAZ  LA,BAJA CALIFORNIA SUR
551,PAZ  LA,BAJA CALIFORNIA SUR
552,PAZ  LA,BAJA CALIFORNIA SUR
553,PAZ  LA,BAJA CALIFORNIA SUR
554,PAZ  LA,BAJA CALIFORNIA SUR
555,PAZ  LA,BAJA CALIFORNIA SUR
556,PAZ  LA,BAJA CALIFORNIA SUR
557,PAZ  LA,BAJA CALIFORNIA SUR
558,PAZ  LA,BAJA CALIFORNIA SUR
559,PAZ  LA,BAJA CALIFORNIA SUR
560,PAZ  LA,BAJA CALIFORNIA SUR
561,PAZ  LA,BAJA CALIFORNIA SUR
562,PAZ  LA,BAJA CALIFORNIA SUR
563,PAZ  LA,BAJA CALIFORNIA SUR
564,PAZ  LA,BAJA CALIFORNIA SUR
565,PAZ  LA,BAJA CALIFORNIA SUR
566,PAZ  LA,BAJA CALIFORNIA SUR
567,PAZ  LA,BAJA CALIFORNIA SUR
568,PAZ  LA,BAJA CALIFORNIA SUR
569,PAZ  LA,BAJA CALIFORNIA SUR
570,PAZ  LA,BAJA CALIFORNIA SUR
571,PAZ  LA,BAJA CALIFORNIA SUR
572,PAZ  LA,BAJA CALIFORNIA SUR
573,PAZ  LA,BAJA CALIFORNIA SUR
